flight_id,origin,destination,depart_time,depart_day,duration,arrive_time,arrive_day,flight_no,airline,economy_fare,business_fare,first_fare
1,JFK,LAX,08:00:00,1,06:30,14:30,1,AA101,American Airlines,299.99,899.99,1499.99
2,LAX,JFK,15:00:00,1,05:30,23:30,1,AA102,American Airlines,299.99,899.99,1499.99
3,LHR,CDG,09:30:00,2,01:30,11:00,2,BA301,British Airways,149.99,449.99,799.99
4,CDG,LHR,16:45:00,2,01:30,17:15,2,AF401,Air France,149.99,449.99,799.99
5,NRT,SIN,11:00:00,3,07:00,17:00,3,JL501,Japan Airlines,599.99,1799.99,2999.99
6,SIN,NRT,19:30:00,3,06:30,08:00,4,SQ601,Singapore Airlines,599.99,1799.99,2999.99
7,DXB,FRA,02:15:00,4,06:45,07:00,4,EK701,Emirates,399.99,1199.99,1999.99
8,FRA,DXB,14:20:00,4,06:30,22:50,4,LH801,Lufthansa,399.99,1199.99,1999.99
9,AMS,HKG,13:45:00,5,11:30,07:15,6,KL901,KLM,699.99,2099.99,3499.99
10,HKG,AMS,23:55:00,6,12:30,05:25,0,CX1001,Cathay Pacific,699.99,2099.99,3499.99
